cutoff_q,城市,train_years,holdout_years,n_units,p_holdout_repeat_2021_2022,p_holdout_mean_2021_2022,p_holdout_ever_2021_2022,X_train_2018_2020,lambda_train_2018_2020,non_escape_train_2018_2020,lambda_denominator,delta_active_train_2018_2020,delta_all3_train_2018_2020,delta_denominator,train_bottom_share_mean,train_bottom_share_2020,p11_train_2018_2020,p11_denominator,pred_pathway_active,pred_pathway_all3,pred_exposure_only,pred_independence,pred_markov_pair,pred_last_state_markov
0.15,上海,2018-2020,2021-2022,3292,0.137910085054678,0.1500607533414338,0.16221142162818955,0.16828675577156743,0.10841121495327102,0.891588785046729,535,0.9713701431492843,0.8977505112474438,489,0.1500607533414338,0.1500607533414338,0.9271255060728745,988,0.14574688641302255,0.13470080660066716,0.16828675577156743,0.02251822969339863,0.1391251518833536,0.1391251518833536
0.15,丹东,2018-2020,2021-2022,57,0.07017543859649122,0.15789473684210525,0.24561403508771928,0.2982456140350877,0.5714285714285714,0.4285714285714286,14,0.8571428571428571,0.42857142857142855,7,0.15789473684210525,0.15789473684210525,0.5,18,0.1095596133190118,0.0547798066595059,0.2982456140350877,0.02493074792243767,0.07894736842105263,0.07894736842105263
0.15,保定,2018-2020,2021-2022,30,0.06666666666666667,0.16666666666666666,0.26666666666666666,0.26666666666666666,0.5714285714285714,0.4285714285714286,7,0.8,0.4,5,0.16666666666666666,0.16666666666666666,0.5,10,0.09142857142857144,0.04571428571428572,0.26666666666666666,0.027777777777777776,0.08333333333333333,0.08333333333333333
0.15,北京,2018-2020,2021-2022,4426,0.1333032083145052,0.1500225937641211,0.166741979213737,0.17826479891549932,0.145748987854251,0.854251012145749,741,0.9361702127659575,0.8282674772036475,658,0.1500225937641211,0.1500225937641211,0.8870481927710844,1328,0.1425627007607456,0.126130960900335,0.17826479891549932,0.02250677863971451,0.1330772706732942,0.1330772706732942
0.15,南京,2018-2020,2021-2022,497,0.12072434607645875,0.15090543259557343,0.18108651911468812,0.18309859154929578,0.1411764705882353,0.8588235294117648,85,0.8846153846153846,0.717948717948718,78,0.15090543259557343,0.15090543259557343,0.86,150,0.1391052195526098,0.11289698978182823,0.18309859154929578,0.022772449586857157,0.12977867203219315,0.12977867203219315
0.15,吉林,2018-2020,2021-2022,150,0.09333333333333334,0.15333333333333332,0.21333333333333335,0.32,0.5555555555555556,0.4444444444444444,36,0.6470588235294118,0.23529411764705882,17,0.15333333333333332,0.15333333333333332,0.43478260869565216,46,0.09202614379084968,0.033464052287581696,0.32,0.023511111111111108,0.06666666666666667,0.06666666666666667
0.15,呼和浩特,2018-2020,2021-2022,109,0.12844036697247707,0.1559633027522936,0.1834862385321101,0.1834862385321101,0.15789473684210525,0.8421052631578947,19,1.0,0.9375,16,0.1559633027522936,0.1559633027522936,0.9117647058823529,34,0.1545147271849348,0.14485755673587639,0.1834862385321101,0.024324551805403587,0.14220183486238533,0.14220183486238533
0.15,哈尔滨,2018-2020,2021-2022,358,0.061452513966480445,0.15083798882681565,0.24022346368715083,0.3016759776536313,0.6162790697674418,0.38372093023255816,86,0.8,0.35,40,0.15083798882681565,0.15083798882681565,0.4351851851851852,108,0.09260750941925427,0.040515785370923735,0.3016759776536313,0.02275209887331856,0.06564245810055866,0.06564245810055866
0.15,唐山,2018-2020,2021-2022,75,0.10666666666666667,0.16,0.21333333333333335,0.25333333333333335,0.25,0.75,16,0.75,0.4166666666666667,12,0.16,0.16,0.7083333333333334,24,0.14250000000000002,0.07916666666666668,0.25333333333333335,0.0256,0.11333333333333334,0.11333333333333334
0.15,大连,2018-2020,2021-2022,1318,0.1244309559939302,0.15022761760242792,0.17602427921092564,0.17223065250379363,0.11926605504587157,0.8807339449541285,218,0.9545454545454546,0.8535353535353535,198,0.15022761760242792,0.15022761760242792,0.9116161616161617,396,0.144794410111613,0.1294722503114423,0.17223065250379363,0.022568337090501312,0.13694992412746587,0.13694992412746587
0.15,天津,2018-2020,2021-2022,2635,0.1286527514231499,0.15028462998102468,0.17191650853889942,0.17533206831119544,0.1353211009174312,0.8646788990825688,436,0.9462915601023018,0.8567774936061381,391,0.15028462998102468,0.15028462998102468,0.898989898989899,792,0.14346342129524772,0.12989255711867023,0.17533206831119544,0.022585470008533504,0.13510436432637574,0.13510436432637574
0.15,太原,2018-2020,2021-2022,92,0.10869565217391304,0.15217391304347827,0.1956521739130435,0.2717391304347826,0.5,0.5,22,0.9166666666666666,0.4166666666666667,12,0.15217391304347827,0.15217391304347827,0.5714285714285714,28,0.12454710144927535,0.05661231884057971,0.2717391304347826,0.023156899810964086,0.08695652173913043,0.08695652173913043
0.15,常州,2018-2020,2021-2022,69,0.08695652173913043,0.15942028985507245,0.2318840579710145,0.2608695652173913,0.42857142857142855,0.5714285714285714,14,0.7777777777777778,0.6666666666666666,9,0.15942028985507245,0.15942028985507245,0.6363636363636364,22,0.11594202898550723,0.09937888198757762,0.2608695652173913,0.025414828817475317,0.10144927536231883,0.10144927536231883
0.15,廊坊,2018-2020,2021-2022,226,0.11061946902654868,0.1504424778761062,0.1902654867256637,0.2345132743362832,0.41304347826086957,0.5869565217391304,46,0.84375,0.53125,32,0.1504424778761062,0.1504424778761062,0.6470588235294118,68,0.11614142458637937,0.0731260821469796,0.2345132743362832,0.022632939149502707,0.09734513274336284,0.09734513274336284
0.15,张家口,2018-2020,2021-2022,27,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2962962962962963,0.625,0.375,8,1.0,0.0,4,0.14814814814814814,0.14814814814814814,0.375,8,0.1111111111111111,0.0,0.2962962962962963,0.02194787379972565,0.05555555555555555,0.05555555555555555
0.15,徐州,2018-2020,2021-2022,317,0.08201892744479496,0.15141955835962145,0.22082018927444794,0.2586750788643533,0.43478260869565216,0.5652173913043479,69,0.8536585365853658,0.5121951219512195,41,0.15141955835962145,0.15141955835962145,0.625,96,0.12481141132903581,0.07488684679742148,0.2586750788643533,0.02292788265382281,0.0946372239747634,0.0946372239747634
0.15,无锡,2018-2020,2021-2022,312,0.08012820512820513,0.15064102564102563,0.22115384615384615,0.23717948717948717,0.3709677419354839,0.6290322580645161,62,0.8333333333333334,0.5952380952380952,42,0.15064102564102563,0.15064102564102563,0.6808510638297872,94,0.12432795698924733,0.08880568356374809,0.23717948717948717,0.02269271860618014,0.10256410256410256,0.10256410256410256
0.15,沈阳,2018-2020,2021-2022,652,0.11042944785276074,0.15030674846625766,0.1901840490797546,0.21319018404907975,0.31746031746031744,0.6825396825396826,126,0.8762886597938144,0.5979381443298969,97,0.15030674846625766,0.15030674846625766,0.7346938775510204,196,0.12750942934043308,0.08700643413817785,0.21319018404907975,0.02259211863449885,0.11042944785276074,0.11042944785276074
0.15,石家庄,2018-2020,2021-2022,524,0.1049618320610687,0.15076335877862596,0.1965648854961832,0.23473282442748092,0.39622641509433965,0.6037735849056604,106,0.9393939393939394,0.7272727272727273,66,0.15076335877862596,0.15076335877862596,0.7088607594936709,158,0.13313605593599834,0.10307307556335354,0.23473282442748092,0.022729590350212693,0.10687022900763359,0.10687022900763359
0.15,长春,2018-2020,2021-2022,442,0.08144796380090498,0.1515837104072398,0.22171945701357465,0.2579185520361991,0.49,0.51,100,0.8548387096774194,0.4032258064516129,62,0.1515837104072398,0.1515837104072398,0.5671641791044776,134,0.11244416873449133,0.05303970223325062,0.2579185520361991,0.02297762126082594,0.08597285067873302,0.08597285067873302
0.2,上海,2018-2020,2021-2022,3292,0.1865127582017011,0.20018226002430134,0.21385176184690158,0.2278250303766707,0.11748251748251748,0.8825174825174825,715,0.9614791987673343,0.8906009244992296,649,0.20018226002430134,0.20018226002430134,0.917298937784522,1318,0.19331459644344032,0.17906384093639183,0.2278250303766707,0.040072937228436994,0.1836269744835966,0.1836269744835966
