test,cutoff_q,left_out_city,n_rows,n_cities,pathway_mae,pathway_rmse,pathway_pearson,pathway_spearman,pathway_mean_signed_error,strict_pathway_mae,strict_pathway_rmse,strict_pathway_pearson,strict_pathway_spearman,strict_pathway_mean_signed_error,exposure_only_mae,exposure_only_rmse,exposure_only_pearson,exposure_only_spearman,exposure_only_mean_signed_error,independence_mae,independence_rmse,independence_pearson,independence_spearman,independence_mean_signed_error,markov_pair_mae,markov_pair_rmse,markov_pair_pearson,markov_pair_spearman,markov_pair_mean_signed_error,pathway_minus_exposure_mae,pathway_minus_markov_mae,pathway_beats_exposure_only,markov_beats_pathway
single_split_2018_2020_to_2021_2022,0.3,呼和浩特,19,19,0.036039433846195686,0.040330326718853074,0.7016419774447931,0.6736842105263158,0.0330071618080757,0.04350958901135918,0.06751177586156124,0.39549487017423446,0.46842105263157896,-0.036540862848125015,0.17948776356218002,0.19471447824067814,-0.616863420004169,-0.6245614035087719,0.17948776356218002,0.1414520260870141,0.14512726670265547,-0.0729570627425122,-0.114135250310167,-0.1414520260870141,0.01958900088209083,0.03076593210098617,0.5586131572239859,0.6070175438596491,0.0007509100073903684,-0.14344832971598434,0.016450432964104856,True,True
single_split_2018_2020_to_2021_2022,0.3,哈尔滨,19,19,0.03304464834221834,0.0374567840253965,0.621990143357093,0.6561403508771929,0.030012376304098348,0.04477131541490841,0.06835694556595062,0.31687841422281515,0.41754385964912283,-0.03780258925167425,0.16820667785883855,0.17997457338431516,-0.48421032491239374,-0.6140350877192983,0.16820667785883855,0.14689377960879033,0.1496573543737156,0.015250962300737407,0.05618966169115914,-0.14689377960879033,0.01991405368631193,0.03097492098375869,0.4560741974184478,0.6000000000000001,-0.0013383298006531409,-0.1351620295166202,0.013130594655906411,True,True
single_split_2018_2020_to_2021_2022,0.3,唐山,19,19,0.03551606396776361,0.04015031550999089,0.7021248995136423,0.7,0.032483791929643624,0.042069076887862975,0.06597557565931521,0.4166947300540107,0.5140350877192983,-0.03510035072462881,0.17690607999546504,0.1925526842599194,-0.6382740445107148,-0.7298245614035088,0.17690607999546504,0.14224714217732687,0.14603849437752806,-0.13955869650830338,-0.08077263868104126,-0.14224714217732687,0.01939263841629331,0.03060722985409598,0.5711242261146906,0.6807017543859648,0.0009472724731878899,-0.14139001602770143,0.016123425551470304,True,True
single_split_2018_2020_to_2021_2022,0.3,大连,19,19,0.03486453597726835,0.03974253101036118,0.6952699193041629,0.7070175438596492,0.03183226393914836,0.04649949100498037,0.06878795045205602,0.3743512479984448,0.4666666666666667,-0.039530764841746203,0.18125983235816237,0.19581059487345348,-0.5948900338827265,-0.6350877192982456,0.18125983235816237,0.14192460518733718,0.14567948431555122,-0.01853606517439515,-0.021071123134184674,-0.14192460518733718,0.020257052866683323,0.031124067678622067,0.5435545676984543,0.6228070175438596,-0.0009953306202817459,-0.14639529638089402,0.014607483110585028,True,True
single_split_2018_2020_to_2021_2022,0.3,天津,19,19,0.035507220209154707,0.040146153023522424,0.6908228614289798,0.6736842105263158,0.03247494817103472,0.04625199145397531,0.06877702796817702,0.36311967616554647,0.4263157894736842,-0.03928326529074114,0.1820167694325302,0.19618425817315402,-0.5851986004605709,-0.5982456140350877,0.1820167694325302,0.1414916506582793,0.1451747720835664,-0.00978109762098064,-0.021071123134184674,-0.1414916506582793,0.0206363549181742,0.031204875934771465,0.5350322008517785,0.5824561403508772,-0.0006160285687908735,-0.1465095492233755,0.014870865290980508,True,True
single_split_2018_2020_to_2021_2022,0.3,太原,19,19,0.0330593864295182,0.03748259827705723,0.7344122903534819,0.736842105263158,0.03002711439139821,0.045401072794598686,0.06861016751284707,0.39502771544815296,0.4666666666666667,-0.038432346631364515,0.1747169114218571,0.1901793624267807,-0.6016099675902785,-0.6456140350877193,0.1747169114218571,0.14463633949323795,0.14825629834566253,0.046598172232407024,0.04036858659791362,-0.14463633949323795,0.01965198242849773,0.030811625613974138,0.5625239015263107,0.6438596491228071,-0.0016004010584673419,-0.1416575249923389,0.013407404001020473,True,True
single_split_2018_2020_to_2021_2022,0.3,常州,19,19,0.033657989609357085,0.038425789687756055,0.7186371846989072,0.7210526315789473,0.030625717571237093,0.046209034073955844,0.06877340850203904,0.412757889345295,0.5157894736842105,-0.03989324460027163,0.17605177030820343,0.19168653285158727,-0.6075447481259588,-0.6561403508771929,0.17605177030820343,0.14406425711337525,0.14779512187898156,0.016323737978923676,0.00702062375615889,-0.14406425711337525,0.01965198242849773,0.030811625613974138,0.5675544728179346,0.6561403508771929,-0.0016004010584673419,-0.14239378069884634,0.014006007180859356,True,True
single_split_2018_2020_to_2021_2022,0.3,廊坊,19,19,0.036296625848478016,0.040371280160353025,0.7186181862758423,0.7526315789473684,0.03326435381035803,0.04253802920421103,0.06654465205481008,0.4118884230169613,0.5017543859649122,-0.03556930304097686,0.17927838243297475,0.1945643010270004,-0.6124453296698429,-0.6175438596491227,0.17927838243297475,0.14165549473439237,0.1453688592003784,-0.02555805931031849,-0.0456541001240668,-0.14165549473439237,0.01939884863209831,0.030612628081924585,0.5675073111965999,0.6456140350877193,0.0009410622573828896,-0.14298175658449674,0.016897777216379705,True,True
single_split_2018_2020_to_2021_2022,0.3,张家口,19,19,0.03499006106550685,0.03983716912137587,0.8655922441453283,0.8122807017543859,0.03499006106550685,0.03440641426625085,0.04400711258659256,0.6798838783539093,0.6000000000000001,-0.027437688103016687,0.17308541722743387,0.18807658980642752,-0.8160526928204697,-0.7842105263157895,0.17308541722743387,0.14160614874724964,0.1453108013829684,0.07070238382528019,0.036874465484823184,-0.14160614874724964,0.014948193971848866,0.0180126855390616,0.8513531917195025,0.7754385964912281,0.005391716917632331,-0.13809535616192703,0.02004186709365799,True,True
single_split_2018_2020_to_2021_2022,0.3,徐州,19,19,0.03437980280808125,0.039303501675808615,0.6932419041608683,0.7017543859649124,0.03134753076996126,0.043833134224083026,0.06777207156109044,0.3787879018856009,0.45964912280701753,-0.03686440806084886,0.17577264704400122,0.1913869880085022,-0.6136599231493456,-0.6561403508771929,0.17577264704400122,0.14439965908310792,0.14807076902942162,-0.050879041556876343,-0.11062339645446956,-0.14439965908310792,0.020215041426974587,0.03110969986542607,0.5523061591785687,0.6315789473684211,-0.001037342059990483,-0.14139284423591997,0.014164761381106662,True,True
single_split_2018_2020_to_2021_2022,0.3,无锡,19,19,0.03509043147905824,0.03990728368352765,0.7039398327598388,0.7070175438596492,0.032058159440938254,0.04443437115727522,0.06817570291556622,0.39521059399501657,0.47719298245614034,-0.03746564499404106,0.17812740253257706,0.19365989694178262,-0.6072898646814776,-0.6315789473684211,0.17812740253257706,0.1427563604893792,0.14657605778508104,-0.027880576996432954,-0.0228270500620334,-0.1427563604893792,0.02062745623005849,0.031203986023876758,0.5579704788259543,0.6315789473684211,-0.00028754534057728875,-0.1430369710535188,0.014462975248999754,True,True
