城市,community_id,first_exposure_year,available_years_after_first,bottom_years_total,longest_bottom_streak,persistent_bottom_3plus,immediate_repeat_after_first,any_repeat_after_first,reentry_after_gap,eligible_one_step,path_one_shot,path_short_repeat_nonpersistent,path_continuous_persistent,path_fragmented_persistent
北京,北京||顺义||顺义其它||北京苏活四区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||华润八号院,2018,4,4,4,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||华英园,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||水色时光三区,2018,4,4,2,True,True,True,True,True,False,False,False,True
北京,北京||顺义||顺义其它||水色时光五区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||水色时光四区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||炫立方,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||焦各庄街2号院,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||翼之城,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||航城广场,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||鹭峯国际,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||龙湖好望山,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义城||前进花园一区,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||顺义||顺义城||望潮家园,2018,4,2,1,False,False,True,True,True,False,True,False,False
北京,北京||顺义||顺义城||港馨家园东区,2018,4,2,1,False,False,True,True,True,False,True,False,False
北京,北京||顺义||顺义城||石园东苑,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||顺义||顺义城||石园北区,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||顺义||顺义城||石园南区,2018,4,3,2,True,True,True,True,True,False,False,False,True
北京,北京||顺义||顺义城||裕龙五区,2022,0,1,1,False,,,,False,True,False,False,False
北京,北京||顺义||顺义城||龙府花园,2022,0,1,1,False,,,,False,True,False,False,False
北京,北京||顺义||顺义城||龙庭公寓,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||首都机场||南竺园,2019,3,1,1,False,False,False,False,True,True,False,False,False
北京,北京||顺义||马坡||佳和宜园,2018,4,2,1,False,False,True,True,True,False,True,False,False
北京,北京||顺义||马坡||北辰墅院1900,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||顺义||马坡||富力湾,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||马坡||康乐小区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||马坡||恒华安纳湖,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||马坡||恒华湖公馆,2022,0,1,1,False,,,,False,True,False,False,False
北京,北京||顺义||马坡||纳帕尔湾,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||马坡||金宝城北区,2022,0,1,1,False,,,,False,True,False,False,False
北京,北京||顺义||马坡||顺兴街17号院,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||顺义||马坡||马坡花园一区,2018,4,2,1,False,False,True,True,True,False,True,False,False
北京,北京||顺义||马坡||马坡花园二区,2018,4,4,3,True,False,True,True,True,False,False,True,False
北京,北京||顺义||马坡||鲁能7号别墅,2018,4,2,1,False,False,True,True,True,False,True,False,False
北京,北京||顺义||马坡||龙湖大名居,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||马坡||龙湖香醍漫步四区南区,2022,0,1,1,False,,,,False,True,False,False,False
南京,南京||六合||南门新城||城开新都雅苑,2018,4,3,2,True,True,True,True,True,False,False,False,True
南京,南京||六合||龙池||荣盛金陵学府,2018,4,2,2,False,True,True,False,True,False,True,False,False
南京,南京||南京||建邺||应天西路,2019,3,1,1,False,False,False,False,True,True,False,False,False
南京,南京||南京||江宁||东山镇,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||南京||江宁||将军大道,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||南京||江宁||禄口,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||南京||浦口||桥北,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||南京||玄武||仙鹤门,2018,4,2,2,False,True,True,False,True,False,True,False,False
南京,南京||南京||秦淮||月牙湖,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||建邺||应天西路||金隅紫京府,2022,0,1,1,False,,,,False,True,False,False,False
南京,南京||建邺||江东||西祠胡同,2018,4,4,4,True,True,True,False,True,False,False,True,False
南京,南京||栖霞||仙林||万达茂,2021,1,2,2,False,True,True,False,True,False,True,False,False
南京,南京||栖霞||栖霞其它||摄山星城闻兰苑,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||栖霞||马群||茉莉园,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||江宁||将军大道||托乐嘉友邻居,2022,0,1,1,False,,,,False,True,False,False,False
南京,南京||江宁||将军大道||托乐嘉吉邻居,2022,0,1,1,False,,,,False,True,False,False,False
南京,南京||江宁||将军大道||托乐嘉睦邻居,2022,0,1,1,False,,,,False,True,False,False,False
南京,南京||江宁||江宁大学城||武夷名仕园,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||江宁||汤山镇||汤城汇,2018,4,3,2,True,True,True,True,True,False,False,False,True
南京,南京||江宁||禄口||朗诗青春街区,2018,4,2,1,False,False,True,True,True,False,True,False,False
南京,南京||江宁||禄口||永欣新寓桂花苑,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||江宁||禄口||永欣新寓海棠苑,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||江宁||禄口||永欣新寓百合苑,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||江宁||禄口||永欣新寓紫荆苑,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||江宁||禄口||江山星汉城,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||江宁||禄口||翠屏城,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||江宁||麒麟镇||东郊小镇第一街区,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||江宁||麒麟镇||东郊小镇第三街区,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||江宁||麒麟镇||东郊小镇第二街区,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||江宁||麒麟镇||东郊小镇第五街区,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||江宁||麒麟镇||定林苑,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||江宁||麒麟镇||悦民公寓,2018,4,2,1,False,False,True,True,True,False,True,False,False
南京,南京||江宁||麒麟镇||晨光苑,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||江宁||麒麟镇||泉水苑,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||江宁||麒麟镇||锁石苑,2018,4,2,2,False,True,True,False,True,False,True,False,False
南京,南京||浦口||桥北||天润城第五街区,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||浦口||桥北||威尼斯水城第三街区,2022,0,1,1,False,,,,False,True,False,False,False
南京,南京||浦口||桥北||威尼斯水城第十八街区,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||浦口||桥北||威尼斯水城第十六街区,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||浦口||桥北||旭日爱上城第六区,2022,0,1,1,False,,,,False,True,False,False,False
南京,南京||浦口||桥北||浦泰和天下一期,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||浦口||桥北||鼎泰家园,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||浦口||江浦街道||东方万汇尊邸,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||浦口||江浦街道||同心佳园,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||浦口||江浦街道||明发新城中心,2018,4,4,4,True,True,True,False,True,False,False,True,False
南京,南京||浦口||江浦街道||滨江嘉园,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||浦口||泰山街道||泰来苑,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||浦口||泰山街道||浦东大厦,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||浦口||泰山街道||铁桥小区,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||浦口||浦口其它||盘龙山庄,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||溧水||溧水其它||颐园世家,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||溧水||溧水城中||财贸新村,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||溧水||溧水城北||亚东同城逸境,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||溧水||溧水城北||创维乐活城,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||溧水||溧水城北||喜之郎丽湖湾,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||溧水||溧水城北||金东城世家一期,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||溧水||溧水城南||万科城梧桐苑,2018,4,4,4,True,True,True,False,True,False,False,True,False
南京,南京||溧水||溧水城南||中南锦城,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||溧水||溧水城南||康利华府,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||溧水||溧水恒大||恒大金碧天下天鸿苑,2018,4,5,5,True,True,True,False,True,False,False,True,False
南京,南京||秦淮||月牙湖||银龙花园二期,2018,4,1,1,False,False,False,False,True,True,False,False,False
南京,南京||秦淮||洪家园||汇景和园,2018,4,1,1,False,False,False,False,True,True,False,False,False
