cutoff_q,horizon_years,target_mode,predictor,predictor_label,n,pearson,spearman,mae,rmse,bias,calibration_slope,calibration_intercept,mae_ci_low,mae_ci_high,mae_reduction_vs_exposure_only,relative_mae_reduction_vs_exposure_only,mae_minus_markov_stationary
0.1,3,majority_holdout_years,pathway_strict,Strict pathway,38,-0.08112037183796693,-0.13597811237867746,0.045105824649293004,0.04994004142309818,-0.045105824649293004,-0.04292432693820858,0.09981035087923668,0.03671608898438469,0.05532785001081859,0.01830512422343695,0.2886745041487483,0.03646733323220111
0.1,3,majority_holdout_years,exposure_only,Exposure only,38,-0.001666583168823453,0.03458465579511874,0.06341094887272995,0.0704459670227439,0.06341094887272995,-0.0005559076367889826,0.09764832481406559,0.049107336372889734,0.07915316453595465,0.0,0.0,0.05477245745563806
0.1,3,majority_holdout_years,independence,Independence,38,0.5767674471846014,0.12757338749716599,0.06793269838016029,0.06843127362799799,-0.06793269838016029,1.67971037508461,0.04779550222193451,0.06487593672492101,0.07018475120227284,-0.004521749507430339,-0.07130865548954007,0.0592942069630684
0.1,4,majority_holdout_years,pathway_active,Pathway,29,0.5625867961242028,0.35078211868488046,0.010097314212962342,0.013716523165585609,0.0009308897397824787,0.9196342764321767,0.0055863175485356955,0.006244026324565995,0.015005276559891229,0.07539716840955714,0.8818951363499722,-0.011491400126487871
0.1,4,majority_holdout_years,markov_stationary,Markov stationary,29,0.5371595434328024,0.30003695263917446,0.021588714339450213,0.02587847680572576,-0.020591596285732615,0.5531043381496092,0.04721401038876052,0.014708857767315252,0.029569700396327094,0.06390576828306926,0.7474841220483194,0.0
0.1,4,majority_holdout_years,markov_last_state,Markov last-state,29,0.5371595434328024,0.30003695263917446,0.021588714339450213,0.02587847680572576,-0.020591596285732615,0.5531043381496092,0.04721401038876052,0.01457447332027948,0.028791106104674374,0.06390576828306926,0.7474841220483194,0.0
0.1,4,majority_holdout_years,pathway_strict,Strict pathway,29,0.41575418177673423,0.24411873568589643,0.031301421898225594,0.03607366351845537,-0.030651522833421076,0.3707435284842467,0.06180723906339603,0.02338941205968067,0.04031162990436473,0.05419306072429388,0.6338778721379067,0.009712707558775381
0.1,4,majority_holdout_years,independence,Independence,29,-0.13597948149019448,-0.04385316580438532,0.07607774769536478,0.07787995609130123,-0.07607774769536478,-2.7003014510684027,0.0911961698505852,0.07216230772790998,0.07983773328685383,0.009416734927154696,0.11014435830592773,0.05448903335591457
0.1,4,majority_holdout_years,exposure_only,Exposure only,29,-0.5683665496044257,-0.2310629405382148,0.08549448262251948,0.09566307453251761,0.08549448262251948,-0.2998733786640121,0.1298398862725993,0.06437491598415618,0.1067394454696498,0.0,0.0,0.06390576828306926
0.1,5,majority_holdout_years,pathway_active,Pathway,22,0.416696417752527,0.48164878599661215,0.01401539772808157,0.01758996276881905,-0.012638938400248505,0.41853701851390634,0.0599459367743725,0.010323958563025214,0.017216449687755677,0.06159543165318651,0.8146376935318507,-0.004760634161930111
0.1,5,majority_holdout_years,markov_stationary,Markov stationary,22,0.3444615061090505,0.4138904573687183,0.01877603189001168,0.02468390621421479,-0.018399717276746975,0.2377368754391772,0.07602512796718212,0.010772620727425096,0.026890818572869447,0.056834797491256396,0.7516753612722138,0.0
0.1,5,majority_holdout_years,markov_last_state,Markov last-state,22,0.34446150610905035,0.4138904573687183,0.018776031890011688,0.02468390621421479,-0.018399717276746975,0.2377368754391774,0.07602512796718211,0.010772620727425096,0.026661917459823204,0.05683479749125639,0.7516753612722137,6.938893903907228e-18
0.1,5,majority_holdout_years,pathway_strict,Strict pathway,22,-0.036245132317054486,0.15979672501411638,0.04450567019353552,0.05038319171036939,-0.04450567019353552,-0.020266145152855332,0.0950005201469417,0.035446992785425485,0.054842845384986225,0.03110515918773256,0.41138497543631747,0.025729638303523837
0.1,5,majority_holdout_years,exposure_only,Exposure only,22,0.07407513202119406,-0.34387351778656133,0.07561082938126808,0.08366924805726783,0.07561082938126808,0.02414036332313599,0.08990310434402875,0.05231021149661335,0.10032936751485383,0.0,0.0,0.056834797491256396
0.1,5,majority_holdout_years,independence,Independence,22,0.7738548358322289,-0.021462864453719848,0.08411241094111133,0.0846490283643619,-0.08411241094111133,3.4452157977564357,0.059941207354316024,0.07972308245842302,0.08748871649001325,-0.00850158155984325,-0.1124386761712925,0.06533637905109965
