cutoff_q,origin_year,train_years,holdout_years,城市,n_units,p_holdout_repeat,p_holdout_mean,p_holdout_ever,X_train,lambda_train,non_escape_train,lambda_denominator,delta_active_train,delta_all_train,delta_denominator,train_bottom_share_mean,train_bottom_share_last,p11_train,p11_denominator,pred_pathway_active,pred_pathway_all3,pred_exposure_only,pred_independence,pred_markov_pair,pred_last_state_markov
0.1,2018,2018-2020,2021-2022,徐州,317,0.0473186119873817,0.10094637223974763,0.15457413249211358,0.1892744479495268,0.54,0.45999999999999996,50,0.88,0.44,25,0.10094637223974763,0.10094637223974763,0.53125,64,0.07661829652996845,0.03830914826498422,0.1892744479495268,0.010190170068365692,0.05362776025236593,0.05362776025236593
0.1,2018,2018-2020,2021-2022,无锡,312,0.057692307692307696,0.10256410256410256,0.14743589743589744,0.15705128205128205,0.4222222222222222,0.5777777777777777,45,1.0,0.6785714285714286,28,0.10256410256410256,0.10256410256410256,0.703125,64,0.09074074074074073,0.06157407407407407,0.15705128205128205,0.010519395134779749,0.07211538461538461,0.07211538461538461
0.1,2018,2018-2020,2021-2022,沈阳,652,0.06134969325153374,0.10122699386503067,0.1411042944785276,0.15337423312883436,0.37777777777777777,0.6222222222222222,90,0.8888888888888888,0.5555555555555556,63,0.10122699386503067,0.10122699386503067,0.6893939393939394,132,0.0848292054836022,0.05301825342725139,0.15337423312883436,0.010246904286950957,0.06978527607361963,0.06978527607361963
0.1,2018,2018-2020,2021-2022,石家庄,524,0.08396946564885496,0.10114503816793893,0.1183206106870229,0.13740458015267176,0.2857142857142857,0.7142857142857143,63,0.9565217391304348,0.8913043478260869,46,0.10114503816793893,0.10114503816793893,0.8113207547169812,106,0.09387890569437202,0.08747807121521028,0.13740458015267176,0.010230318745993824,0.08206106870229009,0.08206106870229009
0.1,2018,2018-2020,2021-2022,长春,442,0.04751131221719457,0.10180995475113122,0.15610859728506787,0.18778280542986425,0.5,0.5,66,0.717948717948718,0.3333333333333333,39,0.10180995475113122,0.10180995475113122,0.5111111111111111,90,0.06740921220559229,0.03129713423831071,0.18778280542986425,0.010365266886427386,0.05203619909502262,0.05203619909502262
0.2,2011,2011-2013,2014-2015,北京,2236,0.18336314847942756,0.2003577817531306,0.21735241502683364,0.23881932021466906,0.15717092337917485,0.8428290766208252,509,0.950561797752809,0.8202247191011236,445,0.2003577817531306,0.2003577817531306,0.8861607142857143,896,0.19133275460318913,0.16509800338100244,0.23881932021466906,0.04014324070903511,0.17754919499105545,0.17754919499105545
0.2,2012,2012-2014,2015-2016,上海,55,0.12727272727272726,0.2,0.2727272727272727,0.34545454545454546,0.5,0.5,16,0.7272727272727273,0.2727272727272727,11,0.2,0.2,0.5,22,0.1256198347107438,0.047107438016528926,0.34545454545454546,0.04000000000000001,0.1,0.1
0.2,2012,2012-2014,2015-2016,北京,3764,0.1594048884165781,0.20018597236981933,0.24096705632306056,0.2314027630180659,0.1519903498190591,0.8480096501809409,829,0.9595141700404858,0.873144399460189,741,0.20005313496280552,0.20005313496280552,0.896414342629482,1506,0.18828716979729235,0.1713386763134292,0.2314027630180659,0.04002125680844648,0.17933049946865037,0.17933049946865037
0.2,2012,2012-2014,2015-2016,南京,240,0.14166666666666666,0.2,0.25833333333333336,0.30833333333333335,0.4153846153846154,0.5846153846153845,65,0.8478260869565217,0.5217391304347826,46,0.2,0.2,0.6458333333333334,96,0.15282608695652172,0.0940468227424749,0.30833333333333335,0.04000000000000001,0.12916666666666668,0.12916666666666668
0.2,2012,2012-2014,2015-2016,天津,23,0.13043478260869565,0.21739130434782608,0.30434782608695654,0.30434782608695654,0.42857142857142855,0.5714285714285714,7,1.0,0.6,5,0.21739130434782608,0.21739130434782608,0.7,10,0.17391304347826086,0.10434782608695652,0.30434782608695654,0.04725897920604915,0.15217391304347824,0.15217391304347824
0.2,2013,2013-2015,2016-2017,上海,89,0.1348314606741573,0.20224719101123595,0.2696629213483146,0.3595505617977528,0.48148148148148145,0.5185185185185186,27,0.8666666666666667,0.4666666666666667,15,0.20224719101123595,0.20224719101123595,0.5833333333333334,36,0.16157580801775562,0.08700235816340686,0.3595505617977528,0.040903926271935356,0.11797752808988765,0.11797752808988765
0.2,2013,2013-2015,2016-2017,北京,4057,0.16021690904609318,0.20014789253142717,0.24007887601676114,0.23095883657875277,0.13616071428571427,0.8638392857142857,896,0.9625468164794008,0.8714107365792759,801,0.20014789253142717,0.20014789253142717,0.9064039408866995,1624,0.19203898247129292,0.17385630319709786,0.23095883657875277,0.04005917888477172,0.1814148385506532,0.1814148385506532
0.2,2013,2013-2015,2016-2017,南京,429,0.13053613053613053,0.20046620046620048,0.2703962703962704,0.317016317016317,0.4344262295081967,0.5655737704918034,122,0.96,0.6266666666666667,75,0.20046620046620048,0.20046620046620048,0.6744186046511628,172,0.1721242691734495,0.11235889793266844,0.317016317016317,0.04018669752935488,0.1351981351981352,0.1351981351981352
0.2,2013,2013-2015,2016-2017,大连,28,0.17857142857142858,0.21428571428571427,0.25,0.32142857142857145,0.375,0.625,8,1.0,0.8,5,0.21428571428571427,0.21428571428571427,0.75,12,0.20089285714285715,0.16071428571428573,0.32142857142857145,0.04591836734693877,0.1607142857142857,0.1607142857142857
0.2,2013,2013-2015,2016-2017,天津,256,0.13671875,0.203125,0.26953125,0.27734375,0.265625,0.734375,64,0.9375,0.7708333333333334,48,0.203125,0.203125,0.8076923076923077,104,0.19094467163085938,0.15699895222981772,0.27734375,0.041259765625,0.1640625,0.1640625
