country,frame_type,frame_id,frame_name,window_start,window_end,cohort_type,lower_tail_q,persistent_min_count,min_transactions_per_unit_year,min_units_per_frame_year,n_units,n_exposed,n_repeat_exposed,n_persistent,escape_denominator,escape_numerator,X_exposure,lambda_immediate_escape,delta_repeat_deepening,P_observed,P_predicted_pathway,P_predicted_exposure_only,absolute_error_pathway,absolute_error_exposure_only,hardening_kernel
UK,bua,E63007920,,2018,2022,balanced,0.2,3,3,10,14,3,3,3,3,0,0.21428571428571427,0.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.0,1.0
UK,bua,E63007930,,2018,2022,balanced,0.2,3,3,10,10,3,2,2,3,2,0.3,0.6666666666666666,1.0,0.2,0.1,0.3,0.1,0.09999999999999998,0.33333333333333337
UK,bua,E63008401,,2018,2022,balanced,0.2,3,3,10,18,6,4,2,6,2,0.3333333333333333,0.3333333333333333,0.5,0.1111111111111111,0.11111111111111112,0.3333333333333333,1.3877787807814457e-17,0.2222222222222222,0.33333333333333337
UK,bua,E63008477,,2018,2022,balanced,0.2,3,3,10,24,9,4,3,9,6,0.375,0.6666666666666666,0.75,0.125,0.09375,0.375,0.03125,0.25,0.25
UK,bua,E63008489,,2018,2022,balanced,0.2,3,3,10,17,5,4,2,5,1,0.29411764705882354,0.2,0.5,0.11764705882352941,0.11764705882352942,0.29411764705882354,1.3877787807814457e-17,0.17647058823529413,0.4
UK,bua,E63009805,,2018,2022,balanced,0.2,3,3,10,12,3,3,2,3,1,0.25,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.11111111111111112,0.25,0.05555555555555554,0.08333333333333334,0.4444444444444445
UK,bua,E63010038,,2018,2022,balanced,0.2,3,3,10,47,13,11,9,12,3,0.2765957446808511,0.25,0.8181818181818182,0.19148936170212766,0.16972920696324953,0.2765957446808511,0.02176015473887813,0.08510638297872342,0.6136363636363636
UK,bua,E63010901,,2018,2022,balanced,0.2,3,3,10,13,2,2,2,2,0,0.15384615384615385,0.0,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,1.0
UK,bua,E63011803,,2018,2022,balanced,0.2,3,3,10,12,5,2,2,4,2,0.4166666666666667,0.5,1.0,0.16666666666666666,0.20833333333333334,0.4166666666666667,0.041666666666666685,0.25,0.5
UK,bua,E63011868,,2018,2022,balanced,0.2,3,3,10,16,6,4,3,6,4,0.375,0.6666666666666666,0.75,0.1875,0.09375,0.375,0.09375,0.1875,0.25
UK,bua,E63011909,,2018,2022,balanced,0.2,3,3,10,10,3,2,1,3,3,0.3,1.0,0.5,0.1,0.0,0.3,0.1,0.19999999999999998,0.0
UK,bua,E63011923,,2018,2022,balanced,0.2,3,3,10,10,4,3,1,3,2,0.4,0.6666666666666666,0.3333333333333333,0.1,0.04444444444444445,0.4,0.05555555555555555,0.30000000000000004,0.11111111111111112
UK,bua,E63011927,,2018,2022,balanced,0.2,3,3,10,15,4,3,3,4,1,0.26666666666666666,0.25,1.0,0.2,0.2,0.26666666666666666,0.0,0.06666666666666665,0.75
UK,bua,E63011958,,2018,2022,balanced,0.2,3,3,10,11,4,0,0,3,3,0.36363636363636365,1.0,,0.0,,0.36363636363636365,,0.36363636363636365,
UK,bua,E63011969,,2018,2022,balanced,0.2,3,3,10,10,5,3,1,5,4,0.5,0.8,0.3333333333333333,0.1,0.033333333333333326,0.5,0.06666666666666668,0.4,0.06666666666666665
UK,bua,E63011980,,2018,2022,balanced,0.2,3,3,10,12,6,1,1,6,5,0.5,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333331,0.5,1.3877787807814457e-17,0.4166666666666667,0.16666666666666663
UK,bua,E63011985,,2018,2022,balanced,0.2,3,3,10,23,9,5,4,9,5,0.391304347826087,0.5555555555555556,0.8,0.17391304347826086,0.1391304347826087,0.391304347826087,0.03478260869565217,0.2173913043478261,0.35555555555555557
UK,bua,E63012025,,2018,2022,balanced,0.2,3,3,10,9,5,0,0,3,3,0.5555555555555556,1.0,,0.0,,0.5555555555555556,,0.5555555555555556,
UK,bua,E63012033,,2018,2022,balanced,0.2,3,3,10,12,3,3,2,3,1,0.25,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.11111111111111112,0.25,0.05555555555555554,0.08333333333333334,0.4444444444444445
UK,bua,E63012034,,2018,2022,balanced,0.2,3,3,10,10,4,3,2,4,1,0.4,0.25,0.6666666666666666,0.2,0.2,0.4,0.0,0.2,0.5
UK,bua,E63012036,,2018,2022,balanced,0.2,3,3,10,33,13,10,5,13,7,0.3939393939393939,0.5384615384615384,0.5,0.15151515151515152,0.09090909090909091,0.3939393939393939,0.06060606060606061,0.2424242424242424,0.23076923076923078
UK,bua,E63012062,,2018,2022,balanced,0.2,3,3,10,11,4,2,2,3,2,0.36363636363636365,0.6666666666666666,1.0,0.18181818181818182,0.12121212121212123,0.36363636363636365,0.060606060606060594,0.18181818181818182,0.33333333333333337
UK,bua,E63012107,,2018,2022,balanced,0.2,3,3,10,13,4,2,2,3,1,0.3076923076923077,0.3333333333333333,1.0,0.15384615384615385,0.20512820512820515,0.3076923076923077,0.051282051282051294,0.15384615384615385,0.6666666666666667
UK,bua,E63012110,,2018,2022,balanced,0.2,3,3,10,13,3,1,1,3,3,0.23076923076923078,1.0,1.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.0
UK,bua,E63012129,,2018,2022,balanced,0.2,3,3,10,10,4,2,2,3,1,0.4,0.3333333333333333,1.0,0.2,0.2666666666666667,0.4,0.06666666666666671,0.2,0.6666666666666667
UK,bua,E63012131,,2018,2022,balanced,0.2,3,3,10,13,5,3,2,5,3,0.38461538461538464,0.6,0.6666666666666666,0.15384615384615385,0.10256410256410256,0.38461538461538464,0.051282051282051294,0.23076923076923078,0.26666666666666666
UK,bua,E63012138,,2018,2022,balanced,0.2,3,3,10,13,5,2,2,5,4,0.38461538461538464,0.8,1.0,0.15384615384615385,0.07692307692307691,0.38461538461538464,0.07692307692307694,0.23076923076923078,0.19999999999999996
UK,bua,E63012161,,2018,2022,balanced,0.2,3,3,10,14,3,3,3,3,1,0.21428571428571427,0.3333333333333333,1.0,0.21428571428571427,0.14285714285714288,0.21428571428571427,0.0714285714285714,0.0,0.6666666666666667
UK,bua,E63012168,,2018,2022,balanced,0.2,3,3,10,15,5,3,3,4,1,0.3333333333333333,0.25,1.0,0.2,0.25,0.3333333333333333,0.04999999999999999,0.1333333333333333,0.75
UK,bua,E63012191,,2018,2022,balanced,0.2,3,3,10,13,3,2,2,3,1,0.23076923076923078,0.3333333333333333,1.0,0.15384615384615385,0.15384615384615388,0.23076923076923078,2.7755575615628914e-17,0.07692307692307693,0.6666666666666667
UK,bua,E63012282,,2018,2022,balanced,0.2,3,3,10,13,4,2,1,4,2,0.3076923076923077,0.5,0.5,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.0,0.23076923076923078,0.25
UK,bua,E63012338,,2018,2022,balanced,0.2,3,3,10,10,3,3,3,3,1,0.3,0.3333333333333333,1.0,0.3,0.2,0.3,0.09999999999999998,0.0,0.6666666666666667
