department,balanced_communes,ever_full_share,exposure_share_observable,lambda_immediate_escape,non_escape_share,delta_deepen_given_immediate_repeat,persistent_share_3plus,minimal_law_prediction,exposure_only_prediction,persistent_count,observable_exposed_count,immediate_repeat_count,persistent_among_immediate_repeat_count,median_commune_price_per_m2,total_transactions,minimal_abs_error,exposure_only_abs_error,minimal_beats_exposure_only
43,146,0.5068493150684932,0.4589041095890411,0.7164179104477613,0.2835820895522388,0.7368421052631579,0.1506849315068493,0.0958904109589041,0.4589041095890411,22,67,19,14,1482.3771043771044,20003,0.0547945205479452,0.3082191780821918,True
44,204,0.28431372549019607,0.2647058823529412,0.2407407407407407,0.7592592592592593,0.8780487804878049,0.18627450980392157,0.17647058823529413,0.2647058823529412,38,54,41,36,2509.6385387488326,130978,0.009803921568627444,0.0784313725490196,True
45,247,0.4493927125506073,0.4089068825910931,0.6039603960396039,0.39603960396039606,0.675,0.14979757085020243,0.10931174089068826,0.4089068825910931,37,101,40,27,1693.9890710382513,64332,0.040485829959514164,0.2591093117408907,True
46,163,0.5644171779141104,0.5214723926380368,0.7058823529411764,0.29411764705882354,0.44,0.09815950920245399,0.06748466257668712,0.5214723926380368,16,85,25,11,1752.6881720430108,18482,0.030674846625766874,0.4233128834355828,True
47,212,0.5377358490566038,0.4858490566037736,0.6990291262135923,0.30097087378640774,0.6129032258064516,0.12735849056603774,0.08962264150943396,0.4858490566037736,27,103,31,19,1627.8645405227685,38298,0.03773584905660378,0.3584905660377359,True
48,54,0.48148148148148145,0.4074074074074074,0.6363636363636364,0.36363636363636365,0.625,0.1111111111111111,0.09259259259259259,0.4074074074074074,6,22,8,5,1675.2281151981751,5799,0.018518518518518517,0.2962962962962963,True
49,161,0.37267080745341613,0.35403726708074534,0.49122807017543857,0.5087719298245614,0.8275862068965517,0.16770186335403728,0.14906832298136646,0.35403726708074534,27,57,29,24,1932.2033898305085,70862,0.018633540372670815,0.18633540372670807,True
50,323,0.44272445820433437,0.4117647058823529,0.5714285714285714,0.42857142857142855,0.5964912280701754,0.16408668730650156,0.10526315789473682,0.4117647058823529,53,133,57,34,1724.1379310344828,55941,0.05882352941176473,0.24767801857585137,True
51,186,0.3978494623655914,0.3763440860215054,0.6,0.4,0.8571428571428571,0.1989247311827957,0.12903225806451613,0.3763440860215054,37,70,28,24,1872.3464035964034,46344,0.06989247311827956,0.1774193548387097,True
52,106,0.4811320754716981,0.4528301886792453,0.6458333333333333,0.3541666666666667,0.6470588235294118,0.1509433962264151,0.1037735849056604,0.4528301886792453,16,48,17,11,949.9600332702793,11535,0.04716981132075469,0.30188679245283023,True
53,212,0.4716981132075472,0.44339622641509435,0.6382978723404256,0.3617021276595745,0.5294117647058824,0.14150943396226415,0.0849056603773585,0.44339622641509435,30,94,34,18,1290.9484300121594,31856,0.05660377358490565,0.30188679245283023,True
54,242,0.43388429752066116,0.4132231404958678,0.5800000000000001,0.42,0.7619047619047619,0.15702479338842976,0.1322314049586777,0.4132231404958678,38,100,42,32,1817.1032475490197,64168,0.024793388429752067,0.25619834710743805,True
55,124,0.4596774193548387,0.4274193548387097,0.6415094339622642,0.3584905660377358,0.631578947368421,0.16129032258064516,0.0967741935483871,0.4274193548387097,20,53,19,12,1077.2085447082059,12674,0.06451612903225806,0.2661290322580645,True
56,244,0.3524590163934426,0.3319672131147541,0.45679012345679015,0.5432098765432098,0.8409090909090909,0.19262295081967212,0.15163934426229506,0.3319672131147541,47,81,44,37,2039.408242234329,100115,0.04098360655737707,0.13934426229508196,True
58,180,0.5166666666666667,0.45,0.6049382716049383,0.3950617283950617,0.625,0.15,0.11111111111111112,0.45,27,81,32,20,1005.6501855779427,23419,0.038888888888888876,0.30000000000000004,True
